Date,Tweet,1_stars,2_stars,3_stars,4_stars,5_stars,winning_star
2020-08-12 08:00:02+00:00," ""Bitcoin is unstoppable."" #bitcoin #bunnies ",0.74,0.17,0.06,0.02,0.02,1
2020-08-10 08:00:02+00:00," ""it's definitely not a bubble"" #bitcoin #bunnies ",0.44,0.27,0.16,0.08,0.05,1
2020-05-15 22:20:42+00:00, I do think Bitcoin ends up being the new leader of the free world. Few understand this. ,0.16,0.33,0.35,0.12,0.04,3
2018-11-22 19:03:33+00:00," I'm endlessly thankful for the wonderful Bitcoin, carnivore, and Bitcoin carnivore communities who share endless ideas, innovations, laughs, and inspiration. Thank you all. ",0,0,0.01,0.06,0.93,5
2020-07-27 01:40:54+00:00, Bitcoin is incredibly undervalued at $10k. ,0.66,0.28,0.05,0,0,1
2020-07-21 14:33:52+00:00," Bitcoin is the clear winner for savings technology before even looking at prices. Then you look at price history, and you realize there was never any contest. ",0.05,0.07,0.13,0.32,0.43,4
2020-06-07 00:07:00+00:00," I like Bitcoin, yes. ",0.06,0.1,0.26,0.33,0.25,4
2020-05-03 14:25:56+00:00, Never bet against Bitcoin! ,0.5,0.13,0.08,0.09,0.2,1
2020-05-11 21:29:00+00:00, #Bitcoin: it just works. ,0.02,0.03,0.18,0.39,0.37,4
2020-05-25 20:03:19+00:00, Find freedom in Bitcoin. ,0.07,0.06,0.11,0.28,0.48,5
2020-04-22 11:27:25+00:00," Bitcoin is the greatest medium of exchange ever, which is why people are so eager to accumulate it in anticipation of wider market adoption. Read the Austrians! ",0.06,0.03,0.02,0.06,0.82,5
2019-10-03 17:11:01+00:00, Bitcoin is being chosen by the market. Why are you so offended by that? ,0.35,0.22,0.16,0.13,0.14,1
2019-10-17 03:21:43+00:00, I just want people to be prepared for any potential economic event. People underestimate Bitcoin! ,0.44,0.23,0.13,0.1,0.11,1
2019-09-13 18:26:54+00:00, Buy bitcoins. ,0.12,0.06,0.1,0.21,0.51,5
2019-07-17 23:31:50+00:00, Today was a major victory for Bitcoin Twitter. It has been an absolute pleasure meme'ing with all of you. Onward to the moon! ,0.01,0,0.01,0.05,0.92,5
2019-06-07 13:41:14+00:00, India has proposed a massive advertisement campaign for Bitcoin. ,0.28,0.2,0.17,0.17,0.18,1
2019-06-23 12:34:31+00:00," Bitcoin already solves this. This is fundamentally one of the reasons for its existence. Be honest, Brian, did you send your private keys to a wallet inspector? ",0.16,0.13,0.15,0.25,0.3,5
2018-03-19 01:54:03+00:00, With this the focus of the project and chain is specifically about making it easy to issue tokens - Bitcoin is an awesome and strong chain but it's focused on other use cases -- the way the asset issuance will work with Ravencoin is IN the protocol not a 2nd layer smart contract ,0.05,0.18,0.4,0.29,0.08,3
2018-04-05 11:32:18+00:00," And yes, tons of awesome stuff being built on Bitcoin - that's why his was made as a fork -- LN is super well suited to a project like this. A natural evolution of science is for people to make tweaks on existing tech. ",0.01,0.01,0.03,0.21,0.73,5
2019-01-03 19:31:22+00:00," 10/ Bitcoin is one of the most important inventions of all time and has launched a global movement. It's awesome to see an entire ecosystem spring up around it, but Bitcoin is my first love. ",0,0,0,0.03,0.96,5
2018-01-23 03:17:59+00:00, There will never be enough tweet characters for me to cover all the awesome things going on in Bitcoin! ,0.01,0,0.01,0.12,0.85,5
2019-02-07 00:10:45+00:00, Awesome! Will tune in. Bitcoin and bitcoin onramps but I'm biased :) ,0,0,0.01,0.17,0.82,5
2019-02-26 00:41:59+00:00," What’s good for bitcoin is good for me because I have exposure to over 100 companies in the space. And yes, if successful, I could do well on the exchange. ",0.01,0.04,0.28,0.48,0.19,4
2019-09-28 04:16:17+00:00, Bitcoin is good. ,0.01,0.03,0.23,0.47,0.25,4
2019-07-13 22:13:06+00:00," Horrible for the world, but would essentially cement Bitcoin as the global winner ",0.66,0.26,0.07,0.01,0,1
2018-10-21 14:51:00+00:00, Bitcoin is cash for the world. #BitcoinCash https://www.coinline.co.nz/marco-coino/ ,0.15,0.08,0.13,0.21,0.43,5
2018-06-12 12:15:10, There is no excuse to not own a whole bitcoin unless you are poor ,0.51,0.23,0.16,0.06,0.04,1
2019-02-03 16:51:31," The other way to look at is that his poor wife and 3 kids are still grieving but yeah, this is great for bitcoin! ",0.01,0.02,0.07,0.35,0.55,5
2019-02-23 17:26:39, #bitcoin is literally pumping as we speak! What does this mean for alts? https://www.pscp.tv/w/b0F3sjFWR2p2b3dhdlhHRU98MWxEeExNb1JyUG1LbU4lnSCacWxlWvS7klm--d4SA2eiDkZADr9tMny1WRCI ,0.53,0.2,0.09,0.07,0.11,1
2019-05-03 18:09:11, Bitcoin is pumping and alts are priming for a major move! Not too long now let’s get it https://www.pscp.tv/w/b5x7GjFWR2p2b3dhdlhHRU98MXlOeGF2RWpEWmJLan6mWzVcCOl4gsCiRy5OBEiTk_bxEDn_AfFN_Ibzju6X ,0.1,0.13,0.17,0.28,0.32,5
2020-02-05 19:36:50," If each millionaire on Earth wanted a Bitcoin, they couldn’t all have one. If you own one, congratulations Hold onto it. ",0.45,0.2,0.13,0.1,0.12,1
2019-09-27 17:17:43+00:00," The average lifespan of fiat currency is 27 years. Bitcoin helps protect you against bankruptcy. That is, when your entire country goes bankrupt. ",0.25,0.29,0.29,0.11,0.06,1
2018-02-06 13:58:45," Hey, congrats to bitcoin, really happy for you http://uk.businessinsider.com/bitcoin-ethereum-litecoin-and-ripple-prices-fall-on-february-6-2018-2 ",0.28,0.15,0.15,0.16,0.26,1
2020-01-07 07:31:58+00:00, #Bitcoin is up 13% in the last 3 days. ,0.61,0.26,0.09,0.02,0.02,1
2020-05-16 05:14:21+00:00, I can send you 1 #Bitcoin . Seeing is believing. 😄 ,0.22,0.07,0.1,0.17,0.44,5
